NO_OF_FRAMES	211
NO_OF_CAMERAS	23
NO_OF_MARKERS	12
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-25, 17:51:17	5834.69910782
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	
6713	37.49721	335.749	-4416.392	6884.453	286.339	-4497.168	6953.777	267.091	-4555.755	7006.725	299.965	-4579.473	7065.227	334.273	-4589.946	7121.110	359.419	-4594.088	7204.065	369.679	-4609.371	7284.024	380.389	-4623.541	7368.996	377.179	-4630.459	7447.322	366.395	-4623.385	7535.506	329.607	-4623.465	7636.974	241.609	-4634.387	7720.852
6714	37.50279	335.280	-4412.150	6862.047	286.188	-4493.088	6930.932	265.819	-4551.989	6983.051	298.550	-4576.317	7041.351	333.331	-4586.347	7096.999	359.103	-4589.344	7179.581	369.509	-4603.132	7260.001	378.296	-4615.707	7346.996	376.836	-4620.455	7422.765	364.351	-4611.743	7511.565	325.140	-4610.931	7611.412	236.517	-4622.505	7695.068
6715	37.50838	334.711	-4407.724	6839.382	286.018	-4488.864	6907.873	264.487	-4548.197	6959.252	297.108	-4573.099	7017.121	332.452	-4582.674	7072.571	358.537	-4584.822	7154.555	369.441	-4596.849	7235.521	377.838	-4607.619	7322.769	375.074	-4610.690	7399.409	362.278	-4600.123	7487.178	321.853	-4598.421	7586.948	231.595	-4610.489	7668.955
6716	37.51397	334.115	-4403.313	6816.517	285.791	-4484.584	6884.720	263.238	-4544.379	6935.116	295.737	-4569.901	6992.697	331.667	-4579.104	7047.847	358.314	-4580.083	7129.480	369.405	-4590.625	7210.631	377.284	-4599.493	7298.223	374.757	-4600.590	7374.003	360.160	-4588.483	7462.341	319.464	-4583.111	7564.143	226.631	-4598.443	7642.219
6717	37.51955	333.560	-4398.944	6793.535	285.553	-4480.289	6861.223	262.116	-4540.503	6910.644	294.419	-4566.722	6968.002	330.803	-4575.580	7022.923	357.336	-4575.578	7105.192	369.266	-4584.439	7185.551	377.507	-4591.218	7272.382	372.134	-4590.784	7350.800	358.078	-4576.814	7437.083	314.365	-4573.095	7535.550	221.821	-4586.356	7615.157
6718	37.52514	332.906	-4394.467	6770.280	285.418	-4475.895	6837.682	260.885	-4536.536	6886.152	293.027	-4563.491	6943.107	330.000	-4572.108	6997.708	357.944	-4570.755	7078.565	368.329	-4578.389	7161.203	376.164	-4583.258	7248.093	372.380	-4580.549	7323.736	356.010	-4565.181	7411.332	310.644	-4560.484	7508.844	217.135	-4574.234	7587.711
6719	37.53073	332.185	-4389.970	6746.807	285.297	-4471.626	6813.827	259.704	-4532.581	6861.357	291.675	-4560.321	6917.984	329.168	-4568.623	6972.317	357.811	-4566.086	7052.695	369.080	-4572.154	7134.294	375.638	-4575.229	7222.375	371.290	-4570.649	7297.929	355.909	-4552.392	7386.654	308.366	-4544.817	7484.641	212.565	-4562.063	7559.804
6720	37.53631	331.537	-4385.498	6723.087	285.167	-4467.263	6789.647	258.494	-4528.625	6836.455	290.371	-4557.169	6892.550	328.434	-4565.173	6946.535	357.648	-4561.514	7026.527	369.015	-4566.071	7108.184	374.954	-4567.128	7196.541	370.028	-4560.770	7271.855	353.812	-4540.767	7360.174	303.442	-4534.631	7454.609	207.911	-4549.788	7531.332
6721	37.54190	330.847	-4380.936	6699.100	285.071	-4463.056	6765.263	257.360	-4524.641	6811.247	289.060	-4553.936	6866.806	327.651	-4561.663	6920.641	357.533	-4556.921	7000.094	368.145	-4560.072	7082.830	374.457	-4559.116	7170.117	368.898	-4550.784	7245.252	351.672	-4529.015	7333.271	299.952	-4521.714	7426.725	203.507	-4537.334	7502.554
6722	37.54749	330.106	-4376.433	6674.857	284.974	-4458.785	6740.684	256.673	-4520.545	6785.089	287.779	-4550.681	6840.767	326.877	-4558.219	6894.370	356.499	-4552.416	6974.645	368.026	-4554.010	7056.203	373.858	-4551.090	7143.393	367.676	-4540.846	7218.290	347.550	-4518.780	7304.214	296.840	-4506.153	7399.157	199.278	-4524.785	7473.364
6723	37.55307	329.344	-4371.900	6650.344	284.832	-4454.433	6715.908	255.668	-4516.553	6759.322	286.577	-4547.450	6814.536	326.063	-4554.686	6867.966	356.397	-4547.826	6947.688	367.888	-4547.953	7029.316	373.193	-4543.060	7116.449	366.620	-4530.993	7190.634	345.414	-4507.259	7276.392	293.089	-4495.906	7369.601	194.922	-4512.089	7443.541
6724	37.55866	328.630	-4367.403	6625.608	284.765	-4450.028	6690.896	254.685	-4512.467	6733.277	285.323	-4544.206	6788.089	325.317	-4551.188	6841.161	357.166	-4543.087	6919.116	369.712	-4541.696	6999.412	372.564	-4535.105	7089.085	365.327	-4520.824	7163.225	345.165	-4494.290	7249.944	290.878	-4480.278	7342.484	190.073	-4500.201	7412.491
6725	37.56425	327.790	-4362.797	6600.565	284.786	-4445.743	6665.741	253.742	-4508.380	6707.045	284.059	-4540.948	6761.435	324.590	-4547.688	6814.204	357.834	-4538.208	6890.438	367.806	-4535.882	6974.254	372.058	-4527.213	7061.237	364.332	-4511.202	7134.701	341.053	-4484.343	7219.523	286.032	-4469.899	7309.489	186.008	-4487.152	7381.979
6726	37.56983	327.015	-4358.305	6575.258	284.634	-4441.299	6640.143	252.777	-4504.345	6680.565	282.824	-4537.635	6734.276	323.848	-4544.165	6786.964	357.682	-4533.624	6862.622	369.547	-4529.574	6943.869	371.537	-4519.338	7033.177	363.139	-4501.362	7106.233	341.124	-4471.377	7192.038	282.961	-4456.942	7279.455	182.126	-4474.003	7351.012
6727	37.57542	326.202	-4353.774	6549.776	284.055	-4437.038	6615.142	251.246	-4500.323	6654.779	281.634	-4534.313	6707.010	322.971	-4540.656	6759.575	357.537	-4528.981	6834.541	369.486	-4523.573	6915.670	370.984	-4511.471	7004.766	362.113	-4491.495	7077.513	339.434	-4461.255	7161.852	279.762	-4444.172	7248.754	178.206	-4460.659	7319.703
6728	37.58101	325.365	-4349.143	6523.966	283.920	-4432.513	6589.315	250.075	-4496.266	6628.247	280.440	-4530.950	6679.477	322.185	-4537.128	6731.806	357.313	-4524.315	6806.348	369.309	-4517.578	6887.149	370.517	-4503.480	6975.905	360.996	-4481.659	7048.176	337.439	-4449.609	7131.792	277.233	-4431.265	7218.737	174.427	-4447.232	7287.949
6729	37.58659	324.628	-4344.640	6497.995	283.825	-4428.151	6562.957	249.453	-4492.014	6600.609	279.381	-4527.602	6651.609	321.415	-4533.592	6703.848	357.160	-4519.642	6777.751	369.379	-4511.525	6858.242	370.080	-4495.795	6946.715	NA	NA	NA	332.913	-4438.876	7099.859	273.909	-4418.231	7186.519	170.752	-4433.725	7255.760
6730	37.59218	323.830	-4340.003	6471.760	283.676	-4423.741	6536.305	248.569	-4487.795	6573.207	278.331	-4524.191	6623.446	320.679	-4530.070	6675.587	356.982	-4514.951	6748.849	369.392	-4505.627	6829.087	369.760	-4487.987	6917.079	NA	NA	NA	330.832	-4427.708	7068.933	271.402	-4405.563	7155.366	167.146	-4420.148	7223.208
6731	37.59777	322.942	-4335.330	6445.338	283.408	-4419.423	6509.417	247.682	-4483.521	6545.593	277.191	-4520.733	6595.189	319.787	-4526.347	6647.167	356.729	-4510.219	6719.899	369.315	-4499.622	6799.775	370.414	-4479.840	6885.514	NA	NA	NA	328.842	-4416.528	7037.558	268.132	-4392.669	7122.149	163.626	-4406.507	7190.171
6732	37.60335	322.232	-4330.678	6418.620	283.246	-4414.899	6482.343	246.919	-4479.258	6517.639	276.107	-4517.214	6566.387	319.040	-4522.740	6618.386	356.472	-4505.466	6690.575	369.261	-4493.660	6770.132	370.924	-4471.953	6854.028	NA	NA	NA	326.723	-4405.520	7005.870	265.361	-4379.903	7089.548	160.283	-4392.905	7156.849
