NO_OF_FRAMES	200
NO_OF_CAMERAS	23
NO_OF_MARKERS	11
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-20, 17:24:32	9219.12088556
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	
7203	40.23464	120.671	-4623.321	7070.835	138.594	-4716.264	7108.303	217.775	-4758.839	7101.341	249.510	-4827.878	7103.426	280.545	-4898.381	7125.625	313.157	-4967.406	7162.570	277.503	-5058.269	7271.945	251.349	-5059.069	7349.465	NA	NA	NA	199.441	-4903.050	7464.863	NA	NA	NA
7204	40.24022	121.753	-4620.790	7047.530	135.299	-4715.213	7082.829	214.455	-4756.804	7074.987	249.027	-4824.307	7078.196	279.939	-4894.343	7101.342	312.427	-4963.419	7138.103	275.873	-5054.967	7246.626	248.030	-5055.139	7323.328	NA	NA	NA	193.966	-4896.380	7431.940	NA	NA	NA
7205	40.24581	122.824	-4618.461	7023.724	132.282	-4713.923	7057.289	211.219	-4754.921	7047.999	248.345	-4820.752	7052.672	278.908	-4890.444	7076.899	311.799	-4959.391	7113.393	274.130	-5051.829	7220.929	243.689	-5051.167	7291.564	NA	NA	NA	189.130	-4890.035	7398.396	NA	NA	NA
7206	40.25140	123.814	-4616.298	6999.182	129.339	-4712.323	7031.475	208.073	-4753.028	7021.021	247.342	-4817.070	7027.012	278.057	-4886.656	7052.092	311.491	-4954.775	7089.164	272.807	-5048.337	7195.217	242.012	-5047.204	7271.096	NA	NA	NA	184.924	-4884.076	7364.149	NA	NA	NA
7207	40.25698	124.771	-4614.289	6974.148	126.638	-4710.723	7005.652	205.166	-4751.332	6994.485	246.114	-4813.721	7001.052	277.235	-4882.769	7027.197	310.578	-4951.429	7063.961	271.270	-5045.015	7168.948	236.812	-5042.700	7238.187	NA	NA	NA	181.244	-4878.465	7329.408	NA	NA	NA
7208	40.26257	125.678	-4612.204	6948.478	123.835	-4708.799	6979.313	201.907	-4749.317	6967.476	244.765	-4810.418	6974.733	276.117	-4879.000	7001.863	309.992	-4947.454	7038.775	270.133	-5041.464	7142.823	234.253	-5038.910	7216.062	NA	NA	NA	178.128	-4873.309	7294.136	NA	NA	NA
7209	40.26816	126.569	-4610.223	6922.250	121.324	-4706.595	6953.141	198.806	-4747.443	6940.510	243.347	-4807.277	6948.045	275.242	-4875.695	6975.972	309.479	-4943.079	7013.785	268.259	-5038.139	7116.013	230.304	-5034.470	7188.161	NA	NA	NA	175.549	-4868.492	7258.665	82.109	-4769.327	7229.698
7210	40.27374	126.900	-4607.765	6898.002	118.665	-4704.209	6926.607	196.017	-4745.621	6914.033	241.835	-4804.246	6921.069	274.612	-4871.755	6950.134	309.040	-4938.774	6988.074	267.161	-5034.353	7089.363	226.443	-5030.128	7160.179	NA	NA	NA	173.363	-4864.079	7223.027	73.908	-4771.784	7188.203
7211	40.27933	127.897	-4605.883	6870.692	116.201	-4701.610	6899.942	192.818	-4743.539	6886.876	240.081	-4801.359	6893.752	273.781	-4868.585	6923.520	308.740	-4934.550	6962.121	266.506	-5029.573	7061.996	220.594	-5025.537	7125.986	NA	NA	NA	171.605	-4859.743	7187.324	64.481	-4776.385	7151.043
7212	40.28492	128.729	-4603.916	6843.002	114.021	-4698.958	6873.223	189.807	-4741.542	6859.656	241.603	-4799.454	6872.114	272.454	-4864.634	6896.670	308.258	-4930.638	6935.999	265.215	-5025.979	7034.780	218.286	-5021.239	7102.295	NA	NA	NA	170.220	-4855.768	7151.672	59.678	-4780.642	7104.545
