NO_OF_FRAMES	219
NO_OF_CAMERAS	23
NO_OF_MARKERS	3
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-22, 12:41:35	9377.67537482
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	
26069	145.63128	278.517	-4451.272	2063.961	258.412	-4535.196	2026.506	NA	NA	NA
26070	145.63687	274.589	-4447.739	2017.750	255.740	-4532.380	1982.437	NA	NA	NA
26071	145.64246	270.553	-4444.058	1972.046	253.275	-4529.944	1938.478	NA	NA	NA
26072	145.64804	266.674	-4440.449	1925.927	250.720	-4527.162	1894.474	NA	NA	NA
26073	145.65363	262.750	-4436.914	1879.776	248.675	-4525.731	1848.551	NA	NA	NA
26074	145.65922	258.850	-4433.354	1833.651	245.800	-4522.502	1805.320	NA	NA	NA
26075	145.66480	254.434	-4429.536	1788.412	243.305	-4519.853	1761.092	NA	NA	NA
26076	145.67039	250.051	-4426.469	1742.116	241.696	-4519.391	1713.634	NA	NA	NA
26077	145.67598	246.151	-4423.424	1695.490	238.752	-4515.969	1670.460	NA	NA	NA
26078	145.68156	241.711	-4420.100	1649.965	236.702	-4513.429	1625.267	NA	NA	NA
26079	145.68715	237.624	-4416.482	1604.314	234.248	-4511.443	1579.279	NA	NA	NA
26080	145.69274	233.444	-4413.317	1558.112	232.265	-4509.569	1533.219	NA	NA	NA
26081	145.69832	229.272	-4410.038	1512.709	230.237	-4507.451	1486.845	NA	NA	NA
26082	145.70391	224.671	-4406.765	1467.292	228.348	-4505.419	1440.793	NA	NA	NA
26083	145.70950	220.850	-4403.384	1421.597	226.433	-4503.756	1393.673	NA	NA	NA
26084	145.71508	216.935	-4399.991	1375.653	224.467	-4502.008	1346.852	NA	NA	NA
26085	145.72067	213.290	-4396.509	1329.890	223.791	-4502.298	1296.900	NA	NA	NA
26086	145.72626	209.348	-4392.742	1283.865	221.704	-4500.332	1251.169	NA	NA	NA
26087	145.73184	205.646	-4388.941	1239.213	220.062	-4498.677	1204.155	NA	NA	NA
26088	145.73743	202.304	-4385.448	1193.105	218.072	-4496.454	1157.411	NA	NA	NA
26089	145.74302	199.247	-4382.123	1146.424	216.786	-4494.729	1109.902	NA	NA	NA
26090	145.74860	195.730	-4378.774	1099.437	215.201	-4492.682	1062.969	NA	NA	NA
26091	145.75419	193.066	-4375.163	1053.239	213.910	-4490.725	1015.285	NA	NA	NA
26092	145.75978	190.364	-4371.584	1006.323	212.999	-4488.885	967.000	NA	NA	NA
26093	145.76536	187.896	-4368.105	958.919	211.688	-4486.374	919.023	NA	NA	NA
26094	145.77095	185.173	-4364.567	910.596	211.018	-4484.500	868.817	NA	NA	NA
26095	145.77654	182.845	-4361.438	862.371	210.327	-4482.106	820.441	NA	NA	NA
26096	145.78212	180.998	-4357.826	814.081	209.500	-4479.759	771.880	NA	NA	NA
26097	145.78771	178.530	-4354.326	766.520	208.541	-4475.249	726.099	NA	NA	NA
26098	145.79330	176.249	-4351.190	716.875	208.698	-4474.506	673.405	NA	NA	NA
26099	145.79888	173.888	-4348.149	667.634	207.860	-4472.152	624.677	NA	NA	NA
26100	145.80447	171.966	-4343.944	619.356	207.677	-4468.789	575.463	NA	NA	NA
26101	145.81006	169.944	-4340.711	569.881	207.463	-4465.963	525.964	NA	NA	NA
26102	145.81564	167.441	-4336.677	520.112	207.277	-4463.229	476.235	NA	NA	NA
26103	145.82123	163.504	-4332.141	469.968	207.271	-4459.611	426.857	NA	NA	NA
26104	145.82682	159.998	-4328.761	417.435	206.886	-4456.851	377.322	NA	NA	NA
26105	145.83240	158.345	-4323.838	370.106	207.130	-4453.453	326.683	NA	NA	NA
26106	145.83799	155.466	-4319.104	320.782	206.164	-4448.372	280.453	NA	NA	NA
26107	145.84358	152.943	-4314.843	270.164	205.934	-4444.587	230.640	NA	NA	NA
