Image Name,Point,X,Y,Marker,Calibration Length pixels,Actual Length mm,Pixels/mm,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,171,3383.333,3134,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,172,3372.667,3112.667,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,173,3363.333,3095.333,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,174,3354,3074,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,175,3344.667,3052.667,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,176,3338,3038,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,177,3331.333,3022,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,178,3324.667,3010,14,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,179,3318,2992.667,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,180,3307.333,2973,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,181,3299.333,2951.667,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,182,3292.667,2929,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,183,3286,2907.667,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,184,3282,2887.667,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,185,3278,2866.333,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,186,3278,2841,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,187,3276.667,2822.333,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,188,3279.333,2794.333,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,189,3283.333,2767.667,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,190,3292.667,2750.333,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,191,3303.333,2733,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,192,3315.333,2718.333,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,193,3332.667,2706.333,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,194,3348.667,2695.667,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,195,3368,2687.667,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,196,3390.667,2681,15,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,197,3414.667,2677.333,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,198,3439.333,2677,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,199,3466,2681,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,200,3490,2687.667,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,201,3516.667,2701,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,202,3544,2719.667,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,203,3563.333,2735.667,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,204,3578,2750.333,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,205,3594,2773,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,206,3608.667,2793,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,207,3628.667,2821,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,208,3647.333,2845,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,209,3671.333,2869,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,210,3691.333,2885,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,211,3711.333,2899.667,16,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,212,3738,2911.667,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,213,3772,2925,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,214,3801.333,2931.667,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,215,3833.333,2935.667,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,216,3866,2939.667,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,217,3904.667,2941,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,218,3932.667,2942.333,,,,,,,,,,,,,,,,,,,1
